season,orch_id,CMI_z,cmi_cluster,cmi_label
2018_2019,0053000000000000245b,-1.311363669825045,1,Young
2018_2019,0053000000000000245f,-1.404992309931131,1,Young
2018_2019,00530000000000002460,0.5502627168832694,0,Old
2018_2019,00530000000000002467,0.6075742778490703,0,Old
2018_2019,00530000000000002468,0.3223983368689314,0,Old
2018_2019,00530000000000002469,0.3159063584112064,0,Old
2018_2019,0053000000000000246b,-0.5826679085584843,0,Old
2018_2019,0053000000000000246d,-0.5338523568838498,0,Old
2018_2019,0053000000000000246e,-0.05453928357778135,0,Old
2018_2019,0053000000000000246f,0.06235151162344708,0,Old
2018_2019,00530000000000002470,0.05982474611128326,0,Old
2018_2019,00530000000000002471,-0.3314952938379845,0,Old
2018_2019,00530000000000002472,0.31601081817246496,0,Old
2018_2019,00530000000000002473,0.8918440470045633,0,Old
2018_2019,00530000000000002475,0.2685427705758046,0,Old
2018_2019,0053000000000000247b,-2.497736004281968,1,Young
2018_2019,0053000000000000247d,-0.9099581484498571,1,Young
2018_2019,0053000000000000247e,0.24689707131849067,0,Old
2018_2019,0053000000000000247f,-1.340830653935588,1,Young
2018_2019,00530000000000002482,0.15700782827534904,0,Old
2018_2019,00530000000000002485,-0.5639430469719646,0,Old
2018_2019,00530000000000002486,0.25365371823112837,0,Old
2018_2019,005300000000000024a9,0.21706200270544082,0,Old
2018_2019,005300000000000024aa,-0.7127760666305324,1,Young
2018_2019,005300000000000024ab,-0.22035082540964301,0,Old
2018_2019,005300000000000024ac,-0.6402998642996973,1,Young
2018_2019,005300000000000024ad,-0.41990194981719425,0,Old
2018_2019,005300000000000024ae,-0.2085835253068246,0,Old
2018_2019,005300000000000024af,-0.5025654075520767,0,Old
2018_2019,005300000000000024b0,-0.4183030018969647,0,Old
2018_2019,005300000000000024b1,-0.4711102500050314,0,Old
2018_2019,005300000000000024b2,-0.5386153827240245,0,Old
2018_2019,005300000000000024b3,-0.3775032542419371,0,Old
2018_2019,005300000000000024b5,0.007747535051570131,0,Old
2018_2019,005300000000000024b6,0.11653835751154318,0,Old
2018_2019,005300000000000024b7,-0.12169728132217845,0,Old
2018_2019,005300000000000024b8,-0.9103712991847267,1,Young
2018_2019,005300000000000024bb,0.2836722630871623,0,Old
2018_2019,005300000000000024be,0.050259309250428395,0,Old
2018_2019,005300000000000024c0,-0.5302660984210774,0,Old
2018_2019,005300000000000024c2,0.36348956997400733,0,Old
2018_2019,005300000000000024c3,0.34568013856580404,0,Old
2018_2019,005300000000000024c4,0.2998593338492166,0,Old
2018_2019,005300000000000024c5,-1.4723696375575661,1,Young
2018_2019,005300000000000024c7,0.6639295710227413,0,Old
2018_2019,005300000000000024c8,0.45260229965090193,0,Old
2018_2019,005300000000000024c9,0.5663430406841392,0,Old
2018_2019,005300000000000024cb,0.5037037421168097,0,Old
2018_2019,005300000000000024cc,0.44389683427246746,0,Old
2018_2019,005300000000000024cd,0.4939141338306,0,Old
2018_2019,005300000000000024ce,0.467880880214231,0,Old
2018_2019,005300000000000024cf,0.7141650243536515,0,Old
2018_2019,005300000000000024d0,0.2347118893610702,0,Old
2018_2019,005300000000000024d1,-2.2918136343846762,1,Young
2018_2019,005300000000000024d3,0.12807058162478535,0,Old
2018_2019,005300000000000024d5,-0.8588868901496641,1,Young
2018_2019,005300000000000024d6,-0.9504198794483519,1,Young
2018_2019,005300000000000024d7,-2.186189880597906,1,Young
2018_2019,005300000000000024d8,0.4722217505714609,0,Old
2018_2019,005300000000000024d9,-1.1172507684426407,1,Young
2018_2019,005300000000000024da,-1.6493629955472016,1,Young
2018_2019,005300000000000024db,0.7187503670569083,0,Old
2018_2019,005300000000000024dc,0.7352618972173166,0,Old
2018_2019,005300000000000024dd,0.5718653970040933,0,Old
2018_2019,005300000000000024de,0.27448797922023166,0,Old
2018_2019,005300000000000024df,-0.6356970061421583,1,Young
2018_2019,005300000000000024e0,0.46330270888541253,0,Old
2018_2019,005300000000000024e1,0.3155093049470725,0,Old
2018_2019,005300000000000024e2,-0.5096275137452245,0,Old
2018_2019,005300000000000024e3,-0.09300736510031546,0,Old
2018_2019,005300000000000024e4,1.2177438367767839,0,Old
2018_2019,005300000000000024e5,-0.2982007447682676,0,Old
2018_2019,005300000000000024e6,-0.5007920102099799,0,Old
2018_2019,005300000000000024e7,0.056018524761913026,0,Old
2018_2019,005300000000000024e8,-0.722235879299351,1,Young
2018_2019,005300000000000024e9,-0.3222498834908113,0,Old
2018_2019,005300000000000024ea,-0.45596060374699554,0,Old
2018_2019,005300000000000024eb,0.254729805428637,0,Old
2018_2019,005300000000000024ec,-0.6535827905497956,1,Young
2018_2019,005300000000000024ed,0.2217203998276808,0,Old
2018_2019,005300000000000024ee,-0.5358388193533455,0,Old
2018_2019,005300000000000024ef,0.00709468682143464,0,Old
2018_2019,005300000000000024f0,0.31249290111269845,0,Old
2018_2019,005300000000000024f1,0.43881346292706563,0,Old
2018_2019,005300000000000024f2,0.8261939577528843,0,Old
2018_2019,005300000000000024f3,0.6061744726711822,0,Old
2018_2019,005300000000000024f4,0.03989628247314609,0,Old
2018_2019,005300000000000024f5,-0.10539333743316057,0,Old
2018_2019,005300000000000024f6,-0.28222664980511686,0,Old
2018_2019,005300000000000024f7,0.5519723415667062,0,Old
2018_2019,005300000000000024f8,-0.10035502420032266,0,Old
