season,orch_id,z_slope_Intensity,z_level_Intensity_t5,Q,K,cluster,best_soft,uncertain,label,CMI
2018_2019,00530000000000003782,0.2426324936570113,-0.6369225297963903,0.7275078614637939,3,1,0.8167493752891214,0,NoCover,-0.5165770148440174
2018_2019,00530000000000003783,0.12045350363968317,0.4889810759247949,0.26902820011714845,3,1,0.5422902187495557,1,NoCover,0.11925790720426
2018_2019,00530000000000003784,0.4130030050751114,0.6735754632147058,0.3283250606982507,3,0,0.5509509859902377,1,Cover,0.7517184327110373
2018_2019,00530000000000003785,-0.03675119433233577,-0.5032233719476206,0.3778362064352565,3,1,0.9275201717988105,0,NoCover,0.1430153639559277
2018_2019,00530000000000003787,-1.4728607270151493,0.3878898857774494,0.8423280970244994,3,2,0.6391093912869686,0,Baseline,0.2052089826990169
2018_2019,00530000000000003788,-1.8142662981046747,0.6810385088969811,0.8607425206312693,3,2,0.6575184793802855,0,Baseline,-0.202009165625979
2018_2019,00530000000000003789,-2.255320610300554,0.5851243858973335,0.6031370201013466,3,2,0.6129756704574234,1,Baseline,-0.2759315509849194
2018_2019,0053000000000000378a,0.289798246089905,-0.6874927429493234,0.5970099750181047,3,1,0.7913487582132417,0,NoCover,-1.0681301268406589
2018_2019,0053000000000000378b,2.350464725494415,1.0337462312684125,0.7041219708428864,3,0,0.7190948840495147,0,Cover,-1.4839420702120425
2018_2019,0053000000000000378c,1.997006019404724,1.0016324533939043,0.7788232624693308,3,0,0.767047605319674,0,Cover,-1.6137132008286594
2018_2019,0053000000000000378d,1.61033536016123,0.9269471451020749,0.7411931204658521,3,0,0.8449032995523286,0,Cover,-2.0356612658800213
2018_2019,0053000000000000378e,0.8968849481126426,1.927643470932804,0.6527590854705251,3,0,0.5876755206919947,1,Cover,-0.4731810511088592
2018_2019,0053000000000000378f,0.44344987728411867,0.6069835611962526,0.30145452077681495,3,0,0.5482161420144572,1,Cover,-0.388651907031544
2018_2019,00530000000000003791,-0.3633209283163869,-1.328333633367376,0.4858220056197746,3,1,0.7001057006834581,0,NoCover,-1.0940352083984948
2018_2019,00530000000000003792,-0.10586607874688027,-1.1710288646537284,0.457569257881478,3,1,0.7390106380314643,0,NoCover,-1.2904452634772483
2018_2019,00530000000000003793,0.6375937355203805,-0.4406687964264855,0.5120677936296967,3,1,0.659551384071764,0,NoCover,-0.4546651515323343
2018_2019,00530000000000003794,0.09522469501702877,-0.5601922085587606,0.5337414160203805,3,1,0.8850082447727611,0,NoCover,-3.850027462532206
2018_2019,00530000000000003795,0.2785643306744792,0.2542885691684613,0.4572583620307295,3,1,0.618627842808207,0,NoCover,-0.6205226520692194
2018_2019,0053000000000000379e,-0.533508466511828,-1.0727342916657816,0.6831739867009805,3,1,0.7074205719003253,0,NoCover,-1.710725947986233
2018_2019,0053000000000000379f,-0.21288121756522507,-0.4996978121522102,0.47773110032707605,3,1,0.8780570022926345,0,NoCover,0.4090025398264245
2018_2019,005300000000000037a0,-0.5386611149680395,-0.6680416579781501,0.7619645273449334,3,1,0.7411031729781004,0,NoCover,0.965659170402621
2018_2019,005300000000000037a1,0.2329375341634884,-0.27768644621129823,0.6198048176401998,3,1,0.8378845773541603,0,NoCover,0.7484907676089422
2018_2019,005300000000000037a2,0.14098206834428711,-0.2722118272529315,0.43205325717976173,3,1,0.8840984706713562,0,NoCover,1.2268911454243794
2018_2019,005300000000000037a3,0.43924623617058034,-0.042342205973222795,0.7944916083044028,3,1,0.6647363308560477,0,NoCover,0.9652153143870154
