season,orch_id,CMI_z,cmi_cluster,cmi_label
2018_2019,0053000000000000249f,0.25764826758440046,1,Old
2018_2019,005300000000000024a0,0.09746887492172025,1,Old
2018_2019,005300000000000024a1,0.7598475437393671,1,Old
2018_2019,005300000000000024a2,0.275768912678288,1,Old
2018_2019,005300000000000024a3,-0.12348351571242865,1,Old
2018_2019,005300000000000024a4,-0.12074189744535477,1,Old
2018_2019,005300000000000024a5,-0.29064393480244244,1,Old
2018_2019,005300000000000024a6,-0.08162699921393442,1,Old
2018_2019,005300000000000024a7,0.12355136753373015,1,Old
2018_2019,005300000000000024a8,0.4483296302316388,1,Old
2018_2019,0053000000000000256d,-0.2494589680681851,1,Old
2018_2019,0053000000000000256e,-0.13449983366615204,1,Old
2018_2019,0053000000000000256f,-0.04557867172538417,1,Old
2018_2019,00530000000000002570,-0.31313775291267476,1,Old
2018_2019,00530000000000002571,0.6543634803181537,1,Old
2018_2019,00530000000000002572,0.7939468201270488,1,Old
2018_2019,00530000000000002573,0.43120496393299845,1,Old
2018_2019,00530000000000002574,-0.6875133129686719,0,Young
2018_2019,00530000000000002575,-1.6942934197293003,0,Young
2018_2019,00530000000000002576,-0.18235553082748449,1,Old
2018_2019,00530000000000002577,-0.512727033152643,0,Young
2018_2019,00530000000000002578,-0.0014935405622697206,1,Old
2018_2019,00530000000000002579,0.1208708470942651,1,Old
2018_2019,00530000000000002bb8,0.9179392047495849,1,Old
2018_2019,00530000000000002f1f,-0.2086705510690452,1,Old
2018_2019,005300000000000030fb,0.07628421836647833,1,Old
2018_2019,00530000000000003782,-0.5008752268456219,0,Young
2018_2019,00530000000000003783,0.023013769911279184,1,Old
2018_2019,00530000000000003784,0.5441224707808583,1,Old
2018_2019,00530000000000003785,0.042588457855490036,1,Old
2018_2019,00530000000000003787,0.09383218700304428,1,Old
2018_2019,00530000000000003788,-0.24169060325191888,1,Old
2018_2019,00530000000000003789,-0.3025981170745583,1,Old
2018_2019,0053000000000000378a,-0.9553211789038004,0,Young
2018_2019,0053000000000000378b,-1.297924729445857,0,Young
2018_2019,0053000000000000378c,-1.4048481856280672,0,Young
2018_2019,0053000000000000378d,-1.7525075242676795,0,Young
2018_2019,0053000000000000378e,-0.4651196130594626,0,Young
2018_2019,0053000000000000378f,-0.39547278028606253,1,Old
2018_2019,00530000000000003791,-0.9766653780310228,0,Young
2018_2019,00530000000000003792,-1.1384952227597511,0,Young
2018_2019,00530000000000003793,-0.4498636469009057,0,Young
2018_2019,00530000000000003794,-3.0,0,Young
2018_2019,00530000000000003795,-0.5865200596706945,0,Young
2018_2019,0053000000000000379e,-1.4847807420489825,0,Young
2018_2019,0053000000000000379f,0.26174558478412957,1,Old
2018_2019,005300000000000037a0,0.7203965232874695,1,Old
2018_2019,005300000000000037a1,0.5414630726044312,1,Old
2018_2019,005300000000000037a2,0.9356356562279872,1,Old
